filename,display_name,username,date_joined,location,username_changes,last_username_change,connected_via,verified,verified_since,has_safety_warning,has_info_icon
Screenshot_20260503-165426.png,Donkey,@donkyincrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260504-063030.png,Lion,@Lionomercy,January 2026,Africa,2,April 2026,Africa Android App,false,,true,false
Screenshot_20260503-183015.png,SWAN,@swan_myst,April 2026,,,1,April 2026,Web,false,,false,false
Screenshot_20260503-160629.png,hedgehog,@notonuisance,March 2026,Nigeria,,,"Nigeria Android App",false,,true,false
Screenshot_20260503-160826.png,Hamster,@HamstersMatter2,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-182733.png,pingu,@pingu4ll,December 2025,Africa,1,December 2025,Africa Android App,true,April 2026,true,false
Screenshot_20260503-141546.png,Goose,@airhornWwings,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260504-062854.png,Cheetah,@BMI074,March 2024,Nigeria,1,March 2024,Nigeria Android App,false,,true,false
Screenshot_20260503-141637.png,Eagle,@cooked_energy,April 2020,Pakistan,2,November 2025,Pakistan Android App,true,December 2025,true,false
Screenshot_20260503-190734.png,Polar Bear,@AnimalCrisisX,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-180042.png,Dog (Dogesh bhai),@urlocaldoggy,January 2026,South Asia,1,April 2026,South Asia Android App,false,,false,true
Screenshot_20260503-193844.png,Cat,@CatinnCrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-182828.png,COW,@HolyCowBroo,February 2026,Africa,1,February 2026,Africa Android App,false,,true,false
Screenshot_20260503-160852.png,Praying Mantis,@Prayers4Mantis,May 2026,,,,"Web",true,May 2026,false,false
Screenshot_20260503-185000.png,Bandariya (Female Monkey),@Nayra_raro,November 2025,India,1,November 2025,India Android App,false,,false,true
Screenshot_20260503-141530.png,Nakedmoleratincrisis,@Nakedmoleratcri,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-141444.png,rat,@ratincontrol,August 2025,Nigeria,6,February 2026,Nigeria Android App,false,,true,false
Screenshot_20260503-182803.png,Crow,@Croww_things,October 2022,India,9,April 2026,India Android App,true,April 2026,false,true
Screenshot_20260503-165134.png,peacock,@Peacock_crisis,January 2026,Nigeria,1,January 2026,Nigeria Android App,false,,true,false
Screenshot_20260503-182750.png,Komodo.,@kdincrisis,January 2026,South Africa,1,January 2026,South Africa App Store,false,,true,false
Screenshot_20260503-171810.png,Goat,@imaboredgoat,July 2024,India,4,January 2026,India Android App,true,April 2026,true,false
Screenshot_20260503-160909.png,Buffalo,@theblackbuffalO,January 2026,South Asia,3,April 2026,South Asia Android App,true,May 2026,true,false
Screenshot_20260503-165736.png,Porcupine,@SexyPorcupine_,May 2024,Ghana,3,September 2024,Ghana App Store,false,,true,false
Screenshot_20260504-062943.png,Turkey,@turkeyiincrisis,December 2024,Africa,3,February 2025,Africa Android App,false,,true,false
Screenshot_20260503-183715.png,Gorrilla,@gorrillacrisis,May 2026,,,,"Web",false,,false,false
Screenshot_20260504-063057.png,camel,@Rajasathani_4,September 2020,India,7,April 2023,India Android App,false,,false,true
Screenshot_20260503-184326.png,crocodile,@crocodilecrisis,January 2026,Africa,2,February 2026,North Africa App Store,false,,true,false
Screenshot_20260503-160711.png,Dingo,@Dingowazhiznamo,May 2026,,,,"Web",false,,false,false
Screenshot_20260503-134432.png,Kangaroo,@Kangaroocrisis,July 2013,Nigeria,1,July 2025,Nigeria App Store,false,,true,false
Screenshot_20260504-062821.png,Emu,@Emuincrisis,May 2026,,,,"Web",false,,false,false
